symbol,name
INFRABEES,Nifty Infrastructure ETF
INFRAIETF,Nifty Infrastructure ETF
INSUREIETF,BSE Insurance ETF
INTERNET,Nifty India Internet ETF
IT,NIFTY IT ETF
ITADD,Nifty IT ETF
ITAXIS,Nifty IT ETF
ITBEES,Nifty IT ETF
ITBETA,Nifty IT ETF
ITETF,Nifty IT ETF
ITIETF,Nifty IT ETF
IVZBANKNF,Nifty Bank ETF
IVZINGOLD,GOLD ETF
IVZINNIFTY,Nifty 50 ETF
IVZSENSEX,BSE Sensex ETF
JUNIORBEES,Nifty Next 50 ETF
LARGEMID50,BSE LargeMid (60:40) Stable Dividend 50 ETF
LICMFGOLD,GOLD ETF
LICNETFGSC,GSECS/GILT ETF
LICNETFN50,Nifty 50 ETF
LICNETFSEN,BSE Sensex ETF
LICNFNHGP,Nifty 100 ETF
LICNMID100,Nifty Midcap 100 ETF
LIQGRWBEES,Overnight ETFs and Liquid ETF
LIQUID,Overnight ETFs and Liquid ETF
LIQUID1,Overnight ETFs and Liquid ETF
LIQUIDADD,Overnight ETFs and Liquid ETF
LIQUIDBEES,Overnight ETFs and Liquid ETF
LIQUIDBETA,Overnight ETFs and Liquid ETF
LIQUIDBETF,Overnight ETFs and Liquid ETF
LIQUIDCASE,Overnight ETFs and Liquid ETF
LIQUIDETF,Overnight ETFs and Liquid ETF
LIQUIDIETF,Overnight ETFs and Liquid ETF
LIQUIDPLUS,Overnight ETFs and Liquid ETF
LIQUIDSBI,Overnight ETFs and Liquid ETF
LIQUIDSHRI,Overnight ETFs and Liquid ETF
LOWVOL,Nifty 100 Low Volatility 30 ETF
LOWVOL1,NIFTY 100 Low Volatility 30 ETF
LOWVOLIETF,Nifty 100 Low Volatility 30 ETF
LTGILTBEES,GSECS/GILT ETF
LTGILTCASE,GSECS/GILT ETF
MAFANG,Global Indices ETF
MAHKTECH,Global Indices ETF
MAKEINDIA,Nifty India Manufacturing ETF
MANUFGBEES,Nifty India Manufacturing ETF
MASPTOP50,Global Indices ETF
METAL,Nifty Metal ETF
METALIETF,Nifty Metal ETF
MID150,Nifty Midcap 150 ETF
MID150BEES,Nifty Midcap 150 ETF
MID150CASE,Nifty Midcap 150 ETF
MIDBANKADD,BSE MidSmall Private Banks ETF
MIDCAP,NIFTY Midcap 50 ETF
MIDCAPADD,Nifty Midcap 150 ETF
MIDCAPBETA,Nifty Midcap 150 ETF
MIDCAPETF,Nifty Midcap 150 ETF
MIDCAPIETF,Nifty Midcap 150 ETF
MIDQ50ADD,Nifty Midcap 150 Quality 50 ETF
MIDSELIETF,BSE Midcap Select ETF
MIDSMALL,Nifty MidSmallcap400 Momentum Quality 100 ETF
MNC,Nifty MNC ETF
MOALPHA50,Nifty Alpha 50 ETF
MOBANK10,BSE Top 10 Banks ETF
MOCAPITAL,Nifty Capital Market ETF
MODEFENCE,Nifty India Defence ETF
MOENERGY,Nifty Energy ETF
MOGOLD,GOLD ETF
MOGSEC,GSECS/GILT ETF
MOHEALTH,BSE Healthcare ETF
MOINFRA,BSE India Infrastructure ETF
MOIPO,BSE Select IPO ETF
MOLOWVOL,Nifty Midcap 100 ETF
MOM100,Nifty Midcap 100 ETF
MOM30IETF,Nifty 200 Momentum 30 ETF
MOM50,Nifty 50 ETF
MOMENTUM,Nifty 200 Momentum 30 ETF
MOMENTUM30,Nifty 200 Momentum 30 ETF
MOMENTUM50,Nifty 500 Momentum 50 ETF
MOMETAL,Nifty Metal ETF
MOMGF,Nifty India Manufacturing ETF
MOMIDMTM,Nifty Midcap 150 Momentum 50 ETF
MOMMIDCAP,BSE Midcap 150 Momentum 30 ETF
MOMNC,Nifty MNC ETF
MOMOMENTUM,Nifty 200 Momentum 30 ETF
MON100,Global Indices ETF
MON50EQUAL,NIFTY 50 Equal Weight ETF
MONEXT50,Nifty Next 50 ETF
MONIFTY100,Nifty 100 ETF
MONIFTY500,Nifty 500 ETF
MONQ50,Global Indices ETF
MOOILGAS,Nifty Oil & Gas ETF
MOPSE,Nifty PSE ETF
MOQUALITY,BSE Quality ETF
MOREALTY,Nifty Realty ETF
MOSERVICE,Nifty Services Sector ETF
MOSILVER,SILVER ETF
MOSMALL250,Nifty Smallcap 250 ETF
MOTOUR,Nifty India Tourism ETF
MOVALUE,BSE Enhanced Value ETF
MSCI360,MSCI India ETF
MSCIADD,MSCI India ETF
MSCIINDIA,MSCI India ETF
MULTICAP,Nifty 500 Multicap 50:25:25 ETF
NETF,Nifty 50 ETF
NEXT30ADD,BSE SENSEX Next 30 ETF
NEXT50,Nifty Next 50 ETF
NEXT50ADD,Nifty Next 50 ETF
NEXT50BETA,Nifty Next 50 ETF
NEXT50ETF,Nifty Next 50 ETF
NEXT50IETF,Nifty Next 50 ETF
NIF100BEES,Nifty 100 ETF
NIF100IETF,Nifty 100 ETF
NIF500BETA,Nifty 500 ETF
NIFTY1,Nifty 50 ETF
NIFTY100EW,Nifty 100 Equal Weight ETF
NIFTYADD,Nifty 50 ETF
NIFTYAXIS,Nifty 50 ETF
NIFTYBEES,Nifty 50 ETF
NIFTYBETA,Nifty 50 ETF
NIFTYBETF,Nifty 50 ETF
NIFTYCASE,Nifty 50 ETF
NIFTYETF,Nifty 50 ETF
NIFTYIETF,Nifty 50 ETF
NIFTYJBLK,Nifty 50 ETF
NIFTYQLITY,Nifty 200 Quality 30 ETF
NPBET,Nifty Private Bank ETF
NV20,Nifty 50 Value 20 ETF
NV20BEES,Nifty 50 Value 20 ETF
NV20IETF,Nifty 50 Value 20 ETF
OILIETF,Nifty Oil & Gas ETF
PHARMABEES,Nifty Pharma ETF
PSUBANK,Nifty PSU Bank ETF
PSUBANKADD,Nifty PSU Bank ETF
PSUBNKBEES,Nifty PSU Bank ETF
PSUBNKIETF,Nifty PSU Bank ETF
PVTBANIETF,Nifty Private Bank ETF
PVTBANK,Nifty Private Bank ETF
PVTBANKADD,Nifty Private Bank ETF
PVTBKGROWW,Nifty Private Bank ETF
QGOLDHALF,GOLD ETF
QNIFTY,Nifty 50 ETF
QUAL30IETF,Nifty 200 Quality 30 ETF
QUALITY30,Nifty 200 Quality 30 ETF
SBIBPB,BSE PSU Bank ETF
SBIETFCON,Nifty India Consumption ETF
SBIETFIT,Nifty IT ETF
SBIETFPB,Nifty Private Bank ETF
SBIETFQLTY,Nifty 200 Quality 30 ETF
SBILIQETF,Overnight ETFs and Liquid ETF
SBIMIDMOM,Nifty Midcap 150 Momentum 50 ETF
SBINEQWETF,Nifty 50 Equal Weight ETF
SBINMID150,Nifty Midcap 150 ETF
SBISILVER,SILVER ETF
SBISMLETF,Nifty Smallcap 250 ETF
SBIVALETF,Nifty 200 Value 30 ETF
SECLEDBETA,BSE India Sector Leaders TRI ETF
SELECTIPO,BSE Select IPO ETF
SENSEXADD,BSE Sensex ETF
SENSEXAXIS,BSE Sensex ETF
SENSEXBETA,BSE Sensex ETF
SENSEXETF,BSE Sensex ETF
SENSEXIETF,BSE Sensex ETF
SETF10GILT,GSECS/GILT ETF
SETFGOLD,GOLD ETF
SETFNIF50,Nifty 50 ETF
SETFNIFBK,Nifty Bank ETF
SETFNN50,Nifty Next 50 ETF
SHARIABEES,Nifty 50 Shariah ETF
SILVER,SILVER ETF
SILVER001,SILVER ETF
SILVER1,SILVER ETF
